isTemporary,namespace,viewName
false,donus_kitchen_finance,vw_freq_pos
false,donus_kitchen_finance,vw_freq_pos_adiq
false,donus_kitchen_finance,vw_full_balance_changes_time
false,donus_kitchen_finance,vw_global
false,donus_kitchen_finance,vw_inativos_cashback
false,donus_kitchen_finance,vw_incentivo_rn
false,donus_kitchen_finance,vw_legacy_customers
false,donus_kitchen_finance,vw_ltv_saldos_clientes
false,donus_kitchen_finance,vw_menu_balance
false,donus_kitchen_finance,vw_metrics_wallet_event
false,donus_kitchen_finance,vw_mongo_pix
false,donus_kitchen_finance,vw_monthly_freq_pos_1
false,donus_kitchen_finance,vw_monthly_ltv_pre_score
false,donus_kitchen_finance,vw_monthly_ltv_pre_score_teste
false,donus_kitchen_finance,vw_motor_pos
false,donus_kitchen_finance,vw_net_revenue
false,donus_kitchen_finance,vw_net_revenue_boleto
false,donus_kitchen_finance,vw_net_revenue_debit_card
false,donus_kitchen_finance,vw_net_revenue_pos_adiq
false,donus_kitchen_finance,vw_net_revenue_pos_cielo
false,donus_kitchen_finance,vw_net_revenue_products_boleto
false,donus_kitchen_finance,vw_net_revenue_products_debit_card
false,donus_kitchen_finance,vw_net_revenue_products_pix_ambev
false,donus_kitchen_finance,vw_net_revenue_products_pos_adiq
false,donus_kitchen_finance,vw_net_revenue_products_pos_aluguel
false,donus_kitchen_finance,vw_net_revenue_products_pos_cielo
false,donus_kitchen_acquisition,growth_organico
false,donus_kitchen_acquisition,grupo_controle_digital
false,donus_kitchen_acquisition,grupo_controle_docs
false,donus_kitchen_acquisition,grupo_controle_pos_digital
false,donus_kitchen_acquisition,home_motivos
false,donus_kitchen_acquisition,infos_bblack
false,donus_kitchen_acquisition,lista_de_exclusao_agosto
false,donus_kitchen_acquisition,mau_julho_consolidado
false,donus_kitchen_acquisition,mau_junho_pix_out
false,donus_kitchen_acquisition,mau_mes_anterior
false,donus_kitchen_acquisition,mau_mes_vigente
false,donus_kitchen_acquisition,meritocracia_ativacao
false,donus_kitchen_acquisition,meritocracia_entrega
false,donus_kitchen_acquisition,meritocracia_eps
false,donus_kitchen_acquisition,mes_passado_teste_diario
false,donus_kitchen_acquisition,meta_terceiro_tri_atualizada
false,donus_kitchen_acquisition,multidados_api
false,donus_kitchen_acquisition,multidados_relatorio
